Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
A ST,KETTNER BLVD,INDIA ST,"(32.7188098, -117.1691922)","(32.7188098, -117.1691922)",6100,6100,6100,4200,4200
A ST,INDIA ST,COLUMBIA ST,"(32.7188077, -117.168291)","(32.7188077, -117.168291)",6800,6800,6800,8300,8300
A ST,COLUMBIA ST,FRONT ST,"(32.7188075, -117.167415)","(32.7188075, -117.167415)",10100,10100,8800,8600,8600
A ST,FRONT ST,1ST AVE,"(32.7188165, -117.1647432)","(32.7188165, -117.1647432)",9300,9300,11400,12500,12500
A ST,1ST AVE,4TH AVE,"(32.7188324, -117.1638747)","(32.7188324, -117.1638747)",10800,10800,10800,7900,7900
A ST,4TH AVE,5TH AVE,"(32.7188361, -117.1610991)","(32.7188361, -117.1610991)",13100,13100,12800,12800,12800
A ST,5TH AVE,10TH AVE,"(32.7188393, -117.1601783)","(32.7188393, -117.1601783)",11700,13600,13600,13600,13000
A ST,10TH AVE,11TH AVE,"(32.7188763, -117.155663)","(32.7188763, -117.155663)",19200,19200,19200,17100,17100
A ST,11TH AVE,PARK BLVD,"(32.7188659, -117.1547422)","(32.7188659, -117.1547422)",7100,7100,7100,9200,9200
ABBOTT ST,WEST POINT LOMA BLVD,VOLTAIRE ST,"(32.7541946, -117.2473809)","(32.7541946, -117.2473809)",3900,3900,4400,5500,5500
ABBOTT ST,VOLTAIRE ST,NEWPORT AVE,"(32.753104, -117.2483515)","(32.753104, -117.2483515)",4800,4800,4800,4800,4800
ACORN ST,62ND ST,COLLEGE AVE,"(32.7605873, -117.0641168)","(32.7605873, -117.0641168)",4100,4100,4100,5800,5800
ACTIVITY RD,CAMINO RUIZ,BLACK MOUNTAIN RD,"(32.8957396, -117.1350022)","(32.8957396, -117.1350022)",13200,13200,14200,14200,14200
ADAMS AVE,VAN DYKE AVE,MARLBOROUGH AVE,"(32.7632177, -117.1023619)","(32.7632177, -117.1023619)",6300,6300,5500,5500,5500
ADAMS AVE,MARLBOROUGH AVE,ROUTE 15,"(32.7632555, -117.1063272)","(32.7632555, -117.1063272)",14500,14300,14300,14300,13400
ADAMS AVE,ROUTE 15,35TH ST,"(32.7632712, -117.1085873)","(32.7632712, -117.1085873)",21400,21400,21100,15100,15100
ADAMS AVE,35TH ST,INTERSTATE 805,"(32.7633464, -117.117293)","(32.7633464, -117.117293)",19600,19600,14400,15400,15400
ADAMS AVE,INTERSTATE 805,30TH ST,"(32.762058, -117.119213)","(32.762058, -117.119213)",15700,15700,15700,13500,13500
ADAMS AVE,30TH ST,TEXAS ST,"(32.7629004, -117.1302137)","(32.7629004, -117.1302137)",11000,11000,11000,10400,10400
ADOBE FALLS RD,WARING RD,ADOBE FALLS PL,"(32.784535, -117.0856433)","(32.784535, -117.0856433)",5600,5600,5600,6800,6800
ADOLPHIA ST,BLACK MOUNTAIN RD,SALMON RIVER RD,"(32.9469501, -117.1298736)","(32.9469501, -117.1298736)",2000,2000,2000,1400,1400
ADRIAN ST/BOB ST,WEST POINT LOMA BLVD,WORDEN ST,"(32.7506675, -117.225932)","(32.7506675, -117.225932)",4300,4300,4300,6600,6600
AERO DR,LINDA VISTA RD,KEARNY VILLA RD,"(32.8110852, -117.1534321)","(32.8110852, -117.1534321)",20600,20200,20200,20200,28200
AERO DR,KEARNY VILLA RD,AFTON RD,"(32.810177, -117.1509856)","(32.810177, -117.1509856)",27700,26600,26600,26600,26600
AERO DR,AFTON RD,SANDROCK RD,"(32.8095824, -117.1444885)","(32.8095824, -117.1444885)",23900,23700,23700,23700,24200
AERO DR,SANDROCK RD,RUFFIN RD (W),"(32.8097803, -117.140084)","(32.8097803, -117.140084)",21700,21700,20300,20300,20300
AERO DR,RUFFIN RD (W),RUFFIN RD (E)/DALEY CTR,"(32.8087626, -117.1189828)","(32.8087626, -117.1189828)",25100,22800,22800,22800,22800
AERO DR,RUFFIN RD (E)/DALEY CTR,MURPHY CANYON RD,"(32.8085752, -117.119055)","(32.8085752, -117.119055)",33500,33500,33500,33500,31800
AERO DR,MURPHY CANYON RD,INTERSTATE 15,"(32.8094805, -117.1166715)","(32.8094805, -117.1166715)",48700,44600,44600,44600,44600
AERO DR,INTERSTATE 15,SANTO RD,"(32.8092047, -117.1145459)","(32.8092047, -117.1145459)",14100,13400,13400,13400,13400
AIRWAY RD,CACTUS RD,BRITANNIA BLVD,"(32.5606152, -116.9883803)","(32.5606152, -116.9883803)",4100,4100,4100,4300,4300
AIRWAY RD,BRITANNIA BLVD,LA MEDIA RD,"(32.5606678, -116.9797101)","(32.5606678, -116.9797101)",6500,8000,8000,8000,8000
AIRWAY RD,LA MEDIA RD,AVENIDA DE LA FUENTE N,"(32.5605783, -116.9624751)","(32.5605783, -116.9624751)",6300,9800,9800,9800,13400
AIRWAY RD,AVENIDA DE LA FUENTE N,ROUTE 905,"(32.5603306, -116.950106)","(32.5603306, -116.950106)",3800,3800,3800,3800,3800
AIRWAY RD,SANYO AVE,ENRICO FERMI DR,"(32.560309, -116.940805)","(32.560309, -116.940805)",4000,4000,4000,4000,4000
AKINS AVE,65TH ST,69TH ST,"(32.7109108, -117.0580697)","(32.7109108, -117.0580697)",1900,1900,1900,2500,2500
ALBATROSS ST,GRAPE ST,HAWTHORN ST,"(32.7261259, -117.1657135)","(32.7261259, -117.1657135)",8400,8400,6900,6900,6900
ALDINE DR,MONROE AVE,FAIRMOUNT AVE,"(32.7589302, -117.0935382)","(32.7589302, -117.0935382)",18900,17600,17600,17600,17500
ALDINE DR,FAIRMOUNT AVE,ADAMS AVE/VAN DYKE AVE,"(32.7633902, -117.0974815)","(32.7633902, -117.0974815)",5700,4300,4300,4300,4800
ALLEGHENY ST,REO DR,MUNDA RD,"(32.679115, -117.067955)","(32.679115, -117.067955)",3300,3300,3700,3700,3700
ALLEGHENY ST,MUNDA RD,SAIPAN DR,"(32.681206, -117.060471)","(32.681206, -117.060471)",2900,2900,2900,2900,2900
ALMAZON ST,PENASQUITOS DR,MADRIGAL ST,"(32.9907974, -117.0936269)","(32.9907974, -117.0936269)",2100,2100,2100,2700,2700
ALSACIA ST,ALTA VIEW DR,WOODMAN ST,"(32.6814094, -117.0471989)","(32.6814094, -117.0471989)",3600,3600,3600,3600,3600
ALSACIA ST,WOODMAN ST,BRIARWOOD RD,"(32.6829653, -117.0432663)","(32.6829653, -117.0432663)",3500,3500,3500,3500,3500
ALTA VIEW DR,POTOMAC ST,ALSACIA ST,"(32.684631, -117.05127)","(32.684631, -117.05127)",4900,4900,4900,4900,4900
ALTA VIEW DR,ALSACIA ST,PARKSIDE AVE,"(32.6814094, -117.0471989)","(32.6814094, -117.0471989)",3300,3300,3300,3300,3300
ALTA VIEW DR,PARKSIDE AVE,WOODMAN ST,"(32.675777, -117.04258)","(32.675777, -117.04258)",10600,10600,10600,10200,10200
ALTA VIEW DR,WOODMAN ST,BRIARWOOD RD,"(32.6758596, -117.0403667)","(32.6758596, -117.0403667)",5500,5500,5400,5400,5400
ALVARADO CANYON RD,MISSION GORGE RD,MISSION GORGE PL,"(32.7809266, -117.0919717)","(32.7809266, -117.0919717)",4200,4500,4500,4500,4600
ALVARADO RD,COLLEGE AVE,RESERVOIR DR,"(32.7767938, -117.0677643)","(32.7767938, -117.0677643)",7500,7500,8200,8200,8200
ALVARADO RD,RESERVOIR DR,70TH ST,"(32.7770714, -117.0562161)","(32.7770714, -117.0562161)",8300,8300,7800,7800,7000
ANTIGUA BLVD,REPECHO DR,CLAIREMONT MESA BLVD,"(32.8295418, -117.1123893)","(32.8295418, -117.1123893)",3500,3200,3200,3200,3200
ANTIGUA BLVD,CLAIREMONT MESA BLVD,SANTO RD,"(32.8314672, -117.1092149)","(32.8314672, -117.1092149)",4200,4200,4200,4200,4200
ANTIGUA BLVD,SANTO RD,CALLE MARISELDA,"(32.8336854, -117.1011142)","(32.8336854, -117.1011142)",7000,7000,7000,7200,7200
ANTIGUA BLVD,CALLE MARISELDA,VIA VALARTA,"(32.8334828, -117.0973949)","(32.8334828, -117.0973949)",5900,5900,5900,6200,5900
AQUARIUS DR,CAMINO RUIZ,WESTONHILL DR,"(32.897227, -117.136282)","(32.897227, -117.136282)",6800,6800,6800,6800,6800
ARAGON DR,UNIVERSITY AVE,CELIA VISTA DR,"(32.7553265, -117.0547601)","(32.7553265, -117.0547601)",2300,2200,2200,2200,2300
ARDATH RD,TORREY PINES RD,HIDDEN VALLEY RD,"(32.8506113, -117.2504902)","(32.8506113, -117.2504902)",8400,8400,8400,8400,8400
ARIANE DR,MORENA BLVD,LEATHERS ST,"(32.8266594, -117.2303091)","(32.8266594, -117.2303091)",3000,3000,3000,2800,2800
ARMOUR ST,CONVOY ST,MERCURY ST,"(32.8199809, -117.1549836)","(32.8199809, -117.1549836)",4200,4500,4500,4500,4500
ARMSTRONG ST,BEAGLE ST,ARMSTRONG PL,"(32.8077573, -117.1616308)","(32.8077573, -117.1616308)",4700,4700,4700,1800,1800
ARMSTRONG ST,ARMSTRONG PL,MESA COLLEGE DR,"(32.8042593, -117.1619647)","(32.8042593, -117.1619647)",3900,3900,3900,3900,3900
ARRIBA ST,PALMILLA DR,REGENTS RD,"(32.8618332, -117.2252948)","(32.8618332, -117.2252948)",6200,6200,6200,6300,6300
ARRIBA ST,REGENTS RD,CARGILL AVE,"(32.8612569, -117.2228917)","(32.8612569, -117.2228917)",4900,4900,4900,4900,4900
ASH ST,HARBOR DR (N),PACIFIC HWY,"(32.7198557, -117.1730626)","(32.7198557, -117.1730626)",6100,6100,6100,6500,6500
ASH ST,PACIFIC HWY,KETTNER BLVD,"(32.7199099, -117.1711126)","(32.7199099, -117.1711126)",7600,8700,8700,8700,10700
ASH ST,KETTNER BLVD,INDIA ST,"(32.7198121, -117.1691856)","(32.7198121, -117.1691856)",9400,9400,9400,9400,9400
ASH ST,INDIA ST,COLUMBIA ST,"(32.7198718, -117.1682846)","(32.7198718, -117.1682846)",11100,10900,10900,10900,10200
ASH ST,COLUMBIA ST,FRONT ST,"(32.7198727, -117.1673961)","(32.7198727, -117.1673961)",10600,10600,10600,10600,10600
ASH ST,FRONT ST,1ST AVE,"(32.7198757, -117.1647732)","(32.7198757, -117.1647732)",19700,19700,13900,13900,13900
