1,2
"(0.18636, 6.613080999999999)","(32.7270983, -117.1707063)"
"(0.18636, 6.613080999999999)","(32.7293253, -117.1707282)"
"(0.18636, 6.613080999999999)","(40.6781085, -74.0060591)"
"(0.18636, 6.613080999999999)","(20.8758958, -156.6803293)"
"(0.18636, 6.613080999999999)","(40.763368, -73.95924)"
"(0.18636, 6.613080999999999)","(40.6481094, -74.0107685)"
"(0.18636, 6.613080999999999)","(40.7314123, -73.99698479999999)"
"(0.18636, 6.613080999999999)","(40.754921, -73.9989038)"
"(0.18636, 6.613080999999999)","(40.7449987, -74.0084016)"
"(32.7511022, -117.2500739)","(32.7519772, -117.2345834)"
"(32.7511022, -117.2500739)","(32.7441429, -117.2350978)"
"(29.8368376, -95.4710661)","(40.7290028, -73.9040151)"
"(32.8968053, -117.1289213)","(34.2117922, -119.0007412)"
"(33.9789627, -84.67781599999999)","(32.8041913, -117.1841264)"
"(33.9789627, -84.67781599999999)","(32.807228, -117.181297)"
"(32.7633799, -117.1236636)","(37.7270486, -122.3886926)"
"(32.7633799, -117.1236636)","(32.7477854, -117.1057279)"
"(32.7633799, -117.1236636)","(41.8715947, -71.4123075)"
"(32.7633799, -117.1236636)","(40.7661901, -73.91754070000002)"
"(32.7633799, -117.1236636)","(32.7339276, -117.1129323)"
"(32.7633799, -117.1236636)","(40.7554084, -73.9318155)"
"(32.7633799, -117.1236636)","(32.755521, -117.1388501)"
"(32.7824851, -117.0778117)","(32.7908245, -117.0824552)"
"(32.9491204, -117.1252378)","(32.9390205, -117.1284305)"
"(41.8764024, -84.0424436)","(32.7519772, -117.2345834)"
"(32.8098412, -117.1294501)","(32.786471, -117.1703762)"
"(32.8098412, -117.1294501)","(32.84487319999999, -117.1270973)"
"(32.8098412, -117.1294501)","(32.8042855, -117.1446298)"
"(32.8098412, -117.1294501)","(32.8052718, -117.1400583)"
"(32.8098412, -117.1294501)","(32.8058272, -117.1287896)"
0,0
"(32.8098412, -117.1294501)","(32.8139647, -117.116019)"
"(32.8098412, -117.1294501)","(34.6222353, -117.2346253)"
