Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
A ST,KETTNER BLVD,INDIA ST,6100,6100,6100,4200,4200
A ST,INDIA ST,COLUMBIA ST,6800,6800,6800,8300,8300
A ST,COLUMBIA ST,FRONT ST,10100,10100,8800,8600,8600
A ST,FRONT ST,1ST AVE,9300,9300,11400,12500,12500
A ST,1ST AVE,4TH AVE,10800,10800,10800,7900,7900
A ST,4TH AVE,5TH AVE,13100,13100,12800,12800,12800
A ST,5TH AVE,10TH AVE,11700,13600,13600,13600,13000
A ST,10TH AVE,11TH AVE,19200,19200,19200,17100,17100
A ST,11TH AVE,PARK BLVD,7100,7100,7100,9200,9200
ABBOTT ST,WEST POINT LOMA BLVD,VOLTAIRE ST,3900,3900,4400,5500,5500
ABBOTT ST,VOLTAIRE ST,NEWPORT AVE,4800,4800,4800,4800,4800
ACORN ST,62ND ST,COLLEGE AVE,4100,4100,4100,5800,5800
ACTIVITY RD,CAMINO RUIZ,BLACK MOUNTAIN RD,13200,13200,14200,14200,14200
ACWORTH AVE/BOYD AVE,MT ACADIA BLVD,MT ABBEY AVE,2700,2700,2700,2700,2700
ACWORTH AVE/BOYD AVE,MT ABBEY AVE,GENESEE AVE,6100,6100,6100,4700,5700
ADAMS AVE,VAN DYKE AVE,MARLBOROUGH AVE,6300,6300,5500,5500,5500
ADAMS AVE,MARLBOROUGH AVE,ROUTE 15,14500,14300,14300,14300,13400
ADAMS AVE,ROUTE 15,35TH ST,21400,21400,21100,15100,15100
ADAMS AVE,35TH ST,INTERSTATE 805,19600,19600,14400,15400,15400
ADAMS AVE,INTERSTATE 805,30TH ST,15700,15700,15700,13500,13500
ADAMS AVE,30TH ST,TEXAS ST,11000,11000,11000,10400,10400
ADAMS AVE,TEXAS ST,PARK BLVD,7200,7200,6800,6800,6800
ADOBE FALLS RD,WARING RD,ADOBE FALLS PL,5600,5600,5600,6800,6800
ADOLPHIA ST,BLACK MOUNTAIN RD,SALMON RIVER RD,2000,2000,2000,1400,1400
ADRIAN ST/BOB ST,WEST POINT LOMA BLVD,WORDEN ST,4300,4300,4300,6600,6600
AERO DR,LINDA VISTA RD,KEARNY VILLA RD,20600,20200,20200,20200,28200
AERO DR,KEARNY VILLA RD,AFTON RD,27700,26600,26600,26600,26600
AERO DR,AFTON RD,SANDROCK RD,23900,23700,23700,23700,24200
AERO DR,SANDROCK RD,RUFFIN RD (W),21700,21700,20300,20300,20300
AERO DR,RUFFIN RD (W),RUFFIN RD (E)/DALEY CTR,25100,22800,22800,22800,22800
AERO DR,RUFFIN RD (E)/DALEY CTR,MURPHY CANYON RD,33500,33500,33500,33500,31800
AERO DR,MURPHY CANYON RD,INTERSTATE 15,48700,44600,44600,44600,44600
AERO DR,INTERSTATE 15,SANTO RD,14100,13400,13400,13400,13400
AFTON RD/PINECREST AVE,AERO DR,MURRAY RIDGE RD,4200,4200,4200,4200,2200
AIRWAY RD,CACTUS RD,BRITANNIA BLVD,4100,4100,4100,4300,4300
AIRWAY RD,BRITANNIA BLVD,LA MEDIA RD,6500,8000,8000,8000,8000
AIRWAY RD,LA MEDIA RD,AVENIDA DE LA FUENTE N,6300,9800,9800,9800,13400
AIRWAY RD,AVENIDA DE LA FUENTE N,ROUTE 905,3800,3800,3800,3800,3800
AIRWAY RD,ROUTE 905,SANYO AVE,5200,5200,5200,6200,6200
AIRWAY RD,SANYO AVE,ENRICO FERMI DR,4000,4000,4000,4000,4000
AKINS AVE/IONA DR,MARKET ST,65TH ST,7500,7500,7500,6000,6000
AKINS AVE,65TH ST,69TH ST,1900,1900,1900,2500,2500
ALBATROSS ST,GRAPE ST,HAWTHORN ST,8400,8400,6900,6900,6900
