id,street_name,limits,all_count,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,count_date
01AV020304,01 AV,A ST - ASH ST, ,17050,,,,17050,0203-04,3/9/2004 0:00
01AV018207,01 AV,A ST - ASH ST, ,18010,,,,18010,0182-07,3/13/2007 0:00
01AV015210,01 AV,A ST - ASH ST, ,20060,,,,20060,0152-10,3/18/2010 0:00
01AV018213,01 AV,A ST - ASH ST, ,19597,,,,19597,0182-13,3/12/2013 0:00
01AV088812,01 AV,ASH ST - BEECH ST, ,2298,,,,2298,0888-12,12/11/2012 0:00
01AV068711,01 AV,B ST - A ST, ,15625,,,,15625,0687-11,9/1/2011 0:00
01AV000714,01 AV,B ST - A ST, ,13569,,,,13569,0007-14,2/11/2014 0:00
01AV048412,01 AV,B ST - C ST, ,13389,,,,13389,0484-12,5/31/2012 0:00
01AV048115,01 AV,B ST - C ST, ,13995,,,,13995,0481-15,6/17/2015 0:00
01AV032603,01 AV,BEECH ST - CEDAR ST, ,23590,,,,23590,0326-03,3/26/2003 0:00
01AV019406,01 AV,BEECH ST - CEDAR ST, ,27450,,,,27450,0194-06,3/23/2006 0:00
01AV017909,01 AV,BEECH ST - CEDAR ST, ,22345,,,,22345,0179-09,3/31/2009 0:00
01AV018912,01 AV,BEECH ST - CEDAR ST, ,18742,,,,18742,0189-12,3/8/2012 0:00
01AV022415,01 AV,BEECH ST - CEDAR ST, ,24463,,,,24463,0224-15,4/30/2015 0:00
01AV005516,01 AV,BEECH ST - CEDAR ST, ,25715,,,,25715,0055-16,3/30/2016 0:00
01AV058207,01 AV,E ST - BROADWAY , ,10410,,,,10410,0582-07,1/8/2008 0:00
01AV000611,01 AV,E ST - BROADWAY , ,12905,,,,12905,0006-11,2/8/2011 0:00
01AV000814,01 AV,E ST - BROADWAY , ,11278,,,,11278,0008-14,2/11/2014 0:00
01AV026702,01 AV,ELM ST - FIR ST, ,3530,,,,3530,0267-02,3/7/2002 0:00
01AV020103,01 AV,ELM ST - FIR ST, ,4120,,,,4120,0201-03,3/12/2003 0:00
01AV017504,01 AV,ELM ST - FIR ST, ,3880,,,,3880,0175-04,2/25/2004 0:00
01AV016105,01 AV,ELM ST - FIR ST, ,3920,,,,3920,0161-05,3/30/2006 0:00
01AV018909,01 AV,ELM ST - FIR ST, ,3285,,,,3285,0189-09,3/31/2009 0:00
01AV019012,01 AV,ELM ST - FIR ST, ,3414,,,,3414,0190-12,3/8/2012 0:00
